MAZ,TAZ,PUMA,REGION,STATE
14400,717,607301,4,6
14401,733,607301,4,6
14402,733,607301,4,6
14403,717,607301,4,6
14404,749,607301,4,6
14405,742,607301,4,6
14406,749,607301,4,6
14407,749,607301,4,6
14408,749,607301,4,6
14409,742,607301,4,6
14410,742,607301,4,6
14411,751,607301,4,6
14412,742,607301,4,6
14413,751,607301,4,6
14414,742,607301,4,6
14415,751,607301,4,6
14416,749,607301,4,6
14417,751,607301,4,6
14418,749,607301,4,6
14419,751,607301,4,6
14420,751,607301,4,6
14421,751,607301,4,6
14422,751,607301,4,6
14423,751,607301,4,6
14424,693,607301,4,6
14425,693,607301,4,6
14426,693,607301,4,6
14427,725,607301,4,6
14428,726,607301,4,6
14429,725,607301,4,6
14430,725,607301,4,6
14431,725,607301,4,6
14432,726,607301,4,6
14433,726,607301,4,6
14434,725,607301,4,6
14435,725,607301,4,6
14436,726,607301,4,6
14437,726,607301,4,6
14438,675,607301,4,6
14439,675,607301,4,6
14440,675,607301,4,6
14441,675,607301,4,6
14442,675,607301,4,6
14443,675,607301,4,6
14444,675,607301,4,6
14445,675,607301,4,6
14446,725,607301,4,6
14447,612,607301,4,6
14448,594,607301,4,6
14449,612,607301,4,6
14450,612,607301,4,6
14451,594,607301,4,6
14452,636,607301,4,6
14453,594,607301,4,6
14454,636,607301,4,6
14455,643,607301,4,6
14456,636,607301,4,6
14457,636,607301,4,6
14458,643,607301,4,6
14459,646,607301,4,6
14460,643,607301,4,6
14461,636,607301,4,6
14462,646,607301,4,6
14463,636,607301,4,6
14464,636,607301,4,6
14465,646,607301,4,6
14466,646,607301,4,6
14467,636,607301,4,6
14468,646,607301,4,6
14469,646,607301,4,6
14470,636,607301,4,6
14471,636,607301,4,6
14472,646,607301,4,6
14473,636,607301,4,6
14474,646,607301,4,6
14475,643,607301,4,6
14476,636,607301,4,6
14477,646,607301,4,6
14478,636,607301,4,6
14479,646,607301,4,6
14480,668,607301,4,6
14481,643,607301,4,6
14482,668,607301,4,6
14483,668,607301,4,6
14484,674,607301,4,6
14485,668,607301,4,6
14486,674,607301,4,6
14487,674,607301,4,6
14488,674,607301,4,6
14489,674,607301,4,6
14490,674,607301,4,6
14491,674,607301,4,6
14492,643,607301,4,6
14493,594,607301,4,6
14494,594,607301,4,6
14495,594,607301,4,6
14496,612,607301,4,6
14497,612,607301,4,6
14498,569,607301,4,6
14499,569,607301,4,6
14500,569,607301,4,6
