STATEFIPS,COUNTY,TRACT,HHWORK0,HHWORK1,HHWORK2,HHWORK3,SF,DUP,MF,MH,TRACTGEOID,HHBASE,POPBASE,PUMA,REGION,TAZ
41,3,100,553,1359,805,204,1591,136,942,252,41003000100,2921,7059,600,1,1
41,3,202,859,787,604,52,1592,86,619,5,41003000202,2302,5350,600,1,2
41,3,400,872,1146,1083,197,2374,307,617,0,41003000400,3298,7825,600,1,3
41,3,500,424,416,414,40,1085,0,65,144,41003000500,1294,3132,600,1,4
41,3,600,631,925,495,39,920,83,604,483,41003000600,2090,4845,600,1,5
41,3,900,622,837,838,90,1567,13,791,16,41003000900,2387,5438,600,1,6
41,3,1001,506,727,438,69,540,223,853,124,41003001001,1740,3872,600,1,7
41,3,1002,265,599,400,65,921,75,333,0,41003001002,1329,3159,600,1,8
41,3,1101,433,707,156,44,241,40,1025,34,41003001101,1340,3662,600,1,9
41,3,1102,645,1026,261,151,920,52,1111,0,41003001102,2083,4519,600,1,10
41,3,10100,881,1035,1081,185,2985,15,117,65,41003010100,3182,8521,600,1,11
41,3,10200,153,265,298,22,617,29,25,67,41003010200,738,1998,600,1,12
41,3,10300,176,179,170,49,459,5,0,110,41003010300,574,1449,600,1,13
41,3,10400,28,43,32,4,78,1,7,21,41003010400,107,257,600,1,14
41,3,10600,736,678,367,139,424,44,1428,24,41003010600,1920,5507,600,1,15
41,3,10702,379,368,165,39,350,54,547,0,41003010702,951,3645,600,1,16
41,3,10800,283,407,535,73,769,80,299,150,41003010800,1298,3339,600,1,17
41,3,10900,309,619,738,101,1382,41,233,111,41003010900,1767,4466,600,1,18
41,43,20100,797,1363,1120,236,2750,71,211,484,41043020100,3516,9130,600,1,19
41,43,20200,318,264,194,20,505,64,184,43,41043020200,796,1834,600,1,20
41,43,20300,681,1089,844,146,2243,95,422,0,41043020300,2760,7096,600,1,21
41,43,20400,582,775,311,46,794,29,815,76,41043020400,1714,4256,600,1,22
41,43,20500,587,730,239,99,800,64,517,274,41043020500,1655,3783,600,1,23
41,43,20600,1148,1180,1001,121,1931,383,965,171,41043020600,3450,8480,600,1,24
41,43,20700,652,823,572,45,1091,67,534,400,41043020700,2092,5456,600,1,25
41,43,20801,386,196,290,51,554,0,362,7,41043020801,923,2500,600,1,26
41,43,20802,470,1033,652,97,756,234,1226,36,41043020802,2252,6064,600,1,27
41,43,30100,39,44,40,9,97,3,2,30,41043030100,132,341,600,1,28
41,43,30500,6,10,6,2,19,0,0,5,41043030500,24,76,600,1,29
41,43,30700,611,537,461,27,1171,23,11,431,41043030700,1636,4030,600,1,30
41,43,30800,954,1111,883,129,1958,161,729,229,41043030800,3077,7772,600,1,31
41,43,30902,452,480,425,118,1047,22,101,305,41043030902,1475,4045,600,1,32
41,43,30903,1032,864,491,144,1625,99,441,366,41043030903,2531,6237,600,1,33
41,43,30904,546,475,509,72,1188,28,156,230,41043030904,1602,4141,600,1,34
41,47,10802,243,376,387,79,815,3,85,182,41047010802,1085,3168,600,1,35
